Repository Name,Number of Files,Number of Rust Files,Rust Files to Total Files,Total SLOC,Rust SLOC,Rust SLOC to Total SLOC,Languages Used,'Unique' Crates
roomies,124,0,0.0,10418,0,0.0,"['', '.idx', '.cjs', '.json', '.mjs', '.tsx', '.md', '.prisma', '.pack', '.css', '.example', '.ico', '.rev', '.sample', 'TypeScript', '.lock']",[]
Go-v2,89,0,0.0,14692,0,0.0,"['', '.svg', '.cjs', '.json', '.mjs', '.tsx', '.md', '.prisma', '.idx', '.css', '.example', '.pack', '.rev', '.sample', 'TypeScript', '.lock']",[]
tartanhack_dashboard_v3,189,0,0.0,88293,0,0.0,"['', '.storyboard', '.json', 'Swift', '.plist', '.html', '.css', '.xcconfig', '.woff', '.idx', '.svg', '.properties', '.xcworkspacedata', '.eot', '.txt', '.pbxproj', '.png', '.woff2', '.gradle', '.dart', '.xml', '.lock', '.ttf', '.md', '.xcscheme', '.kt', '.pack', 'C Header', '.xcsettings', '.yaml', '.rev', '.sample']",[]
pdf-23,61,0,0.0,79155,0,0.0,"['', '.svg', '.tsx', '.json', '.idx', 'JavaScript', '.md', '.png', '.pack', '.jpg', '.css', '.lockb', '.ico', '.rev', '.sample', 'TypeScript', '.gif']",[]
pdf-css,33,0,0.0,959,0,0.0,"['', '.idx', '.html', '.md', '.css', '.pack', '.rev', '.sample']",[]
pdf-html,39,0,0.0,67345,0,0.0,"['', '.idx', '.md', '.html', '.pack', '.rev', '.sample', '.pdf']",[]
lend-it-test,68,0,0.0,4109,0,0.0,"['', '.svg', '.cjs', '.json', '.mjs', '.tsx', '.md', '.sqlite', '.prisma', '.idx', '.css', '.pack', '.rev', '.sample', 'TypeScript', '.lock']",[]
tartanhacks_dashboard_v4,284,0,0.0,40125,0,0.0,"['', '.cjs', '.json', '.tsx', '.yml', '.mjml', '.css', '.example', '.ico', '.idx', '.svg', 'JavaScript', '.png', 'TypeScript', '.md', '.pack', '.hbs', '.yaml', '.rev', '.sample']",[]
nova,124,0,0.0,108640,0,0.0,"['', '.svg', '.tsx', '.json', '.idx', 'JavaScript', '.md', '.html', '.yaml', '.pack', '.gz_', '.css', '.png', '.rev', '.sample', 'TypeScript', '.ttf']",[]
SuperStarter,64,0,0.0,9259,0,0.0,"['', '.idx', '.cjs', '.json', '.tsx', 'JavaScript', '.md', '.prisma', '.svg', '.pack', '.css', '.ico', '.rev', '.sample', 'TypeScript']",[]
nova-sdk-swift,39,0,0.0,23663,0,0.0,"['', '.idx', '.sample', 'Swift', '.md', '.yaml', '.pack', '.rev', '.resolved']",[]
nova-sdk-server,41,0,0.0,1268,0,0.0,"['', '.idx', '.md', 'Python', '.txt', '.pack', '.rev', '.sample']",[]
nova-js-sdk,34,0,0.0,1171,0,0.0,"['', '.idx', '.json', 'JavaScript', '.md', '.pack', '.rev', '.sample']",[]
nova-python-sdk,39,0,0.0,1217,0,0.0,"['', '.idx', '.md', '.yml', 'Python', '.txt', '.pack', '.rev', '.sample']",[]
